city1Id:ID|city2Id:ID
655|1138
1080|1106
271|842
553|737
246|483
117|659
455|950
632|1227
608|1148
152|654
150|801
253|702
300|457
640|723
227|1100
1306|1316
362|1165
785|1368
760|934
399|942
606|1021
475|804
1086|1190
565|719
589|778
964|1232
738|1284
581|807
1158|1436
281|1326
1054|1258
1040|1177
284|467
615|775
382|627
621|1309
796|1339
305|650
458|989
971|1445
1256|1325
1328|1350
612|856
565|911
211|1101
1080|1403
710|1040
829|1051
737|951
355|533
616|1309
1248|1261
283|1374
1331|1439
1352|1399
1258|1269
535|710
1189|1376
918|1386
424|1033
560|925
708|1297
310|1026
228|965
156|1356
1246|1367
608|1226
126|529
549|708
1039|1411
966|1163
397|1038
572|1318
804|882
117|1177
665|900
853|1113
156|560
554|1130
714|824
333|1038
376|1109
1213|1440
124|440
162|503
528|602
765|1429
1067|1360
1280|1421
953|1044
1122|1130
966|1411
173|399
915|1031
436|793
135|632
598|808
493|1391
918|959
797|1418
523|1206
243|903
561|786
391|1076
974|1269
780|833
1105|1194
603|1289
425|916
565|1285
188|550
758|1290
390|1308
342|1285
216|971
1351|1355
606|1045
290|317
721|1069
364|1026
1030|1057
511|1424
950|1132
592|1021
1186|1239
1206|1325
373|650
664|1032
1086|1303
1076|1429
1064|1206
1023|1195
905|1021
1024|1319
372|1011
290|773
263|345
484|1141
133|1308
270|1011
643|752
262|505
950|1044
131|423
580|1256
1166|1182
227|736
1206|1216
524|1184
571|1101
340|1422
1189|1325
940|1310
1104|1336
129|672
1307|1403
259|1402
680|1324
702|1440
1165|1338
410|564
768|1222
1012|1227
529|657
710|1257
506|919
727|900
509|702
196|623
477|590
560|1219
603|1377
386|1333
263|610
150|438
824|852
915|1177
205|1209
1402|1415
828|1070
536|714
159|903
926|1032
156|506
289|671
507|1033
757|1281
1185|1196
124|501
828|928
1146|1313
992|1416
1158|1440
782|1424
1168|1192
848|1088
915|1011
849|1440
554|1331
200|664
863|1379
589|742
1012|1431
212|413
827|1003
827|1158
1215|1357
581|1405
621|938
420|803
116|755
1126|1452
461|1338
564|1046
1216|1339
727|901
170|1308
178|509
942|1316
960|1117
1089|1156
605|1206
175|370
692|1241
458|1199
769|1440
1172|1399
126|844
158|757
646|1248
1202|1367
867|1344
134|498
809|1074
887|1406
263|1350
258|524
179|671
835|1308
564|1040
1266|1296
706|983
316|1224
704|765
161|556
612|1261
777|1000
479|887
426|919
560|1227
789|1011
738|980
207|757
126|1339
332|1289
743|767
1161|1367
238|314
594|983
1363|1442
399|915
565|1226
524|1048
265|423
565|1290
240|1243
154|1307
767|843
591|737
1323|1353
192|1367
1227|1296
603|741
621|1263
1058|1275
887|961
462|1137
525|824
266|1177
740|1055
860|1304
742|1102
749|1114
1122|1169
510|1262
941|1253
454|942
512|1071
994|1131
448|1393
245|742
846|1017
226|1294
984|1257
196|1177
480|980
552|1395
659|699
363|948
404|965
260|803
1098|1202
409|824
823|1104
887|1080
422|1252
404|725
597|910
1104|1343
1338|1348
576|1026
408|764
681|1202
1175|1425
134|1282
188|1210
1037|1097
359|544
640|1226
1023|1281
606|766
1038|1382
533|1284
575|1287
643|1435
258|753
248|1136
866|1441
524|805
146|1382
969|1116
730|843
1003|1376
181|692
256|570
999|1208
1416|1431
853|942
496|964
1111|1425
1254|1339
532|926
162|389
422|1121
558|1073
263|828
280|1143
174|546
466|830
194|661
930|1004
136|365
160|621
537|1252
454|606
399|1435
474|1433
904|1070
1289|1319
866|1292
732|1118
585|1290
650|876
1103|1146
689|887
493|1416
363|578
1044|1348
604|980
757|1453
746|1113
1101|1174
499|1021
814|1259
428|804
342|1050
643|1395
1097|1427
234|1167
1048|1374
524|1321
551|1112
306|689
1199|1379
223|844
682|1194
606|1138
685|1311
591|1279
611|967
275|1185
726|1022
131|381
746|1280
842|1423
164|463
457|1039
661|949
248|695
687|989
