person1Id:ID|person2Id:ID|startDate:DATE|endDate:DATE
8796093030458|8796093022281|2010-04-21|2010-05-13
30786325578699|4398046511987|2010-04-19|2010-05-11
35184372091009|10995116278138|2010-04-20|2010-05-12
24189255811792|6597069774061|2010-04-14|2010-05-06
2199023256436|26388279076493|2010-04-20|2010-05-12
15393162792008|17592186048395|2010-04-15|2010-05-07
2199023262722|10995116288256|2010-04-15|2010-05-07
8796093031752|15393162799290|2010-04-19|2010-05-11
35184372088917|21990232566108|2010-04-16|2010-05-08
26388279072783|28587302326134|2010-04-13|2010-05-05
19791209300778|13194139535895|2010-04-13|2010-05-05
21990232561431|17592186044882|2010-04-16|2010-05-08
15393162791627|24189255811081|2010-04-21|2010-05-13
26388279074180|28587302332360|2010-04-15|2010-05-07
21990232563317|4398046519441|2010-04-21|2010-05-13
2199023256108|32985348836992|2010-04-16|2010-05-08
10995116281134|6597069773793|2010-04-19|2010-05-11
4398046517894|15393162792043|2010-04-18|2010-05-10
6597069775731|26388279073287|2010-04-13|2010-05-05
28587302327032|6597069771958|2010-04-20|2010-05-12
28587302330231|26388279070488|2010-04-15|2010-05-07
15393162794968|10995116287958|2010-04-14|2010-05-06
2199023257594|28587302329901|2010-04-17|2010-05-09
2199023262040|8796093026673|2010-04-17|2010-05-09
2199023256130|28587302326617|2010-04-20|2010-05-12
8796093026743|28587302324767|2010-04-14|2010-05-06
17592186051955|32985348835388|2010-04-14|2010-05-06
19791209309689|19791209306827|2010-04-14|2010-05-06
26388279074180|10995116283652|2010-04-15|2010-05-07
35184372089516|8796093025810|2010-04-21|2010-05-13
8796093022281|30786325586956|2010-04-16|2010-05-08
6597069767973|17592186052835|2010-04-13|2010-05-05
6597069769862|26388279070832|2010-04-21|2010-05-13
32985348838292|21990232565602|2010-04-15|2010-05-07
13194139537497|8796093028387|2010-04-16|2010-05-08
2975|24189255818800|2010-04-18|2010-05-10
2199023261571|4398046519964|2010-04-16|2010-05-08
30786325580199|21990232564322|2010-04-16|2010-05-08
26388279073680|26388279072438|2010-04-19|2010-05-11
32985348838292|8796093024108|2010-04-15|2010-05-07
30786325579149|26388279069802|2010-04-19|2010-05-11
6597069775474|6597069775211|2010-04-17|2010-05-09
2199023256108|4398046517171|2010-04-16|2010-05-08
15393162798690|2199023263600|2010-04-19|2010-05-11
28587302328143|6597069774067|2010-04-15|2010-05-07
4398046512214|17592186051190|2010-04-17|2010-05-09
8796093024002|26388279070439|2010-04-18|2010-05-10
4398046512501|17592186050170|2010-04-16|2010-05-08
19791209305990|7784|2010-04-14|2010-05-06
19791209304241|4621|2010-04-20|2010-05-12
4398046515191|13194139540435|2010-04-15|2010-05-07
30786325579846|24189255811665|2010-04-14|2010-05-06
17592186052516|28587302328645|2010-04-17|2010-05-09
4398046518418|32985348838559|2010-04-20|2010-05-12
4398046519739|32985348837580|2010-04-18|2010-05-10
35184372092688|8796093030849|2010-04-16|2010-05-08
7379|4398046513640|2010-04-21|2010-05-13
8796093030458|28587302324276|2010-04-21|2010-05-13
21990232561641|1636|2010-04-19|2010-05-11
8796093031597|28587302326703|2010-04-17|2010-05-09
35184372092810|13194139540541|2010-04-21|2010-05-13
28587302325519|235|2010-04-19|2010-05-11
8796093029413|17592186050889|2010-04-20|2010-05-12
10995116285961|30786325581144|2010-04-13|2010-05-05
28587302331828|15393162797982|2010-04-19|2010-05-11
8749|1636|2010-04-14|2010-05-06
8796093024509|28587302323833|2010-04-21|2010-05-13
21990232561431|28587302326692|2010-04-16|2010-05-08
30786325579892|6597069769045|2010-04-15|2010-05-07
28587302330894|30786325587164|2010-04-21|2010-05-13
30786325584466|13194139543101|2010-04-17|2010-05-09
2199023261571|17592186047918|2010-04-16|2010-05-08
19791209300547|13194139541547|2010-04-16|2010-05-08
26388279072674|21990232562293|2010-04-21|2010-05-13
19791209300173|4870|2010-04-20|2010-05-12
19791209305990|6597069775040|2010-04-14|2010-05-06
32985348841016|4398046511987|2010-04-21|2010-05-13
28587302331828|17592186053911|2010-04-19|2010-05-11
17592186047163|32985348841991|2010-04-19|2010-05-11
