personId:ID|country:STRING|tagClass:STRING|minPathDistance:INT|maxPathDistance:INT
6597069770479|Italy|Thing|3|4
15393162790150|Italy|BaseballPlayer|3|4
8796093032781|Niger|FormulaOneRacer|3|4
2199023264575|Algeria|Monarch|3|4
15393162796579|France|Saint|3|4
4398046512698|Hungary|Saint|3|4
6597069770438|Tanzania|Monarch|3|4
8796093024338|Kenya|ComicsCreator|3|4
10995116288080|Poland|SoccerManager|3|4
15393162797982|Democratic_Republic_of_the_Congo|Cricketer|3|4
15393162793326|Tanzania|PrimeMinister|3|4
15393162790150|England|AmericanFootballPlayer|3|4
2199023255672|Algeria|PrimeMinister|3|4
10995116284483|Poland|AmericanFootballPlayer|3|4
6597069770479|France|Saint|3|4
8796093029733|Italy|Saint|3|4
15393162797982|Algeria|NascarDriver|3|4
4398046517061|Niger|PrimeMinister|3|4
4398046517781|Portugal|Politician|3|4
2199023264575|Sri_Lanka|Senator|3|4
4398046515696|Sri_Lanka|BasketballPlayer|3|4
15393162793326|Algeria|Politician|3|4
2199023262112|England|Saint|3|4
8796093024705|Democratic_Republic_of_the_Congo|Monarch|3|4
8796093022875|Iran|BaseballPlayer|3|4
15393162797982|Iran|Politician|3|4
3507|Niger|PrimeMinister|3|4
4398046517568|France|BaseballPlayer|3|4
4398046514714|Iran|Architect|3|4
15393162790150|Belarus|FormulaOneRacer|3|4
6597069773776|France|PrimeMinister|3|4
2199023259331|Hungary|Monarch|3|4
15393162793326|Kazakhstan|SoccerManager|3|4
6597069773776|England|PrimeMinister|3|4
15393162793388|Portugal|Monarch|3|4
2199023259074|Chile|PrimeMinister|3|4
10995116286881|Venezuela|BasketballPlayer|3|4
2199023258996|Venezuela|AmericanFootballPlayer|3|4
2199023259331|United_Kingdom|Senator|3|4
3507|Algeria|FormulaOneRacer|3|4
2199023259331|Netherlands|Thing|3|4
6597069775408|Italy|Saint|3|4
10995116286881|Kazakhstan|PrimeMinister|3|4
8973|Democratic_Republic_of_the_Congo|Saint|3|4
10995116285979|Hungary|ComicsCreator|3|4
10995116286302|England|Architect|3|4
4398046517781|England|SoccerManager|3|4
2199023255672|Chile|Monarch|3|4
4398046517061|Argentina|FormulaOneRacer|3|4
8796093032781|Tanzania|Thing|3|4
8796093028247|Italy|AmericanFootballPlayer|3|4
10995116284483|Democratic_Republic_of_the_Congo|ComicsCreator|3|4
6597069767592|Niger|BasketballPlayer|3|4
8237|Argentina|Cricketer|3|4
2199023259331|Italy|Politician|3|4
13194139541865|Tanzania|Senator|3|4
15393162793326|Venezuela|PrimeMinister|3|4
10995116284483|Belarus|AmericanFootballPlayer|3|4
8796093028247|Democratic_Republic_of_the_Congo|Architect|3|4
10995116286302|Portugal|ComicsCreator|3|4
15393162793326|Venezuela|Senator|3|4
2199023255672|Poland|Architect|3|4
10995116284386|Kenya|BaseballPlayer|3|4
4398046517568|Argentina|PrimeMinister|3|4
15393162797037|Hungary|Cricketer|3|4
10995116285979|France|Cricketer|3|4
2199023265050|Portugal|BaseballPlayer|3|4
10995116286881|Poland|AmericanFootballPlayer|3|4
2199023258996|Portugal|Thing|3|4
2199023255672|Democratic_Republic_of_the_Congo|SoccerManager|3|4
8796093028247|Algeria|SoccerManager|3|4
4398046517061|Portugal|BaseballPlayer|3|4
15393162798536|Netherlands|BasketballPlayer|3|4
13194139541865|Kenya|Architect|3|4
10995116288080|Algeria|Saint|3|4
4398046517568|Netherlands|NascarDriver|3|4
2199023258996|Chile|ComicsCreator|3|4
15393162798536|Iran|AmericanFootballPlayer|3|4
6597069770945|United_Kingdom|Architect|3|4
4398046514714|Hungary|Monarch|3|4
15393162796579|France|PrimeMinister|3|4
6597069770479|Tanzania|SoccerManager|3|4
15393162793388|Niger|Politician|3|4
8796093030357|Iran|AmericanFootballPlayer|3|4
6597069773776|United_Kingdom|BaseballPlayer|3|4
15393162797037|Venezuela|Cricketer|3|4
4398046514714|Hungary|FormulaOneRacer|3|4
15393162796579|Belarus|SoccerManager|3|4
8973|Kenya|ComicsCreator|3|4
10995116288256|Chile|Saint|3|4
6597069776268|Iran|BasketballPlayer|3|4
8796093022875|Kazakhstan|ComicsCreator|3|4
4398046517568|Belarus|Politician|3|4
6597069767592|Kenya|Thing|3|4
10995116285979|Niger|ComicsCreator|3|4
8796093028247|Kazakhstan|BasketballPlayer|3|4
4398046514714|Sri_Lanka|SoccerManager|3|4
6597069773776|France|Politician|3|4
10995116286302|Hungary|Architect|3|4
2199023263805|Venezuela|Senator|3|4
4398046514714|Italy|PrimeMinister|3|4
2199023262112|Sri_Lanka|Politician|3|4
6597069770438|Kazakhstan|BaseballPlayer|3|4
8237|Kenya|ComicsCreator|3|4
13194139541865|Poland|FormulaOneRacer|3|4
2199023265050|Sri_Lanka|Architect|3|4
10995116284386|Chile|Thing|3|4
6597069776268|Iran|PrimeMinister|3|4
8796093032781|Poland|Cricketer|3|4
10995116282007|Belarus|BaseballPlayer|3|4
10995116288080|Niger|Monarch|3|4
6597069776268|Italy|Politician|3|4
6597069767592|Sri_Lanka|Thing|3|4
6597069770479|Tanzania|Architect|3|4
4398046517568|Kazakhstan|Saint|3|4
15393162797982|England|AmericanFootballPlayer|3|4
4398046517061|Niger|Politician|3|4
10995116284483|United_Kingdom|BaseballPlayer|3|4
2199023265050|Hungary|Senator|3|4
10995116281382|France|BasketballPlayer|3|4
4398046520135|Niger|Architect|3|4
8796093022875|Hungary|Senator|3|4
8973|Kazakhstan|Saint|3|4
8973|United_Kingdom|Monarch|3|4
2199023263805|France|Architect|3|4
2199023255672|Algeria|Thing|3|4
4398046517781|Netherlands|Saint|3|4
2199023258996|Niger|Cricketer|3|4
2199023259074|Algeria|Senator|3|4
4398046512698|Algeria|Monarch|3|4
10995116288080|Iran|Politician|3|4
10995116284483|Netherlands|Saint|3|4
15393162793388|Netherlands|Architect|3|4
8973|Netherlands|FormulaOneRacer|3|4
4398046517061|Chile|Architect|3|4
2199023259074|Argentina|SoccerManager|3|4
10995116284483|Niger|ComicsCreator|3|4
2199023258996|Belarus|NascarDriver|3|4
2199023259074|Hungary|Architect|3|4
2199023259074|Chile|Monarch|3|4
8796093032781|Iran|Architect|3|4
10995116286302|Netherlands|Cricketer|3|4
10995116284483|Belarus|Senator|3|4
2199023264575|Poland|SoccerManager|3|4
6597069775408|Iran|NascarDriver|3|4
3507|Chile|Saint|3|4
15393162798536|United_Kingdom|Thing|3|4
8973|England|PrimeMinister|3|4
2199023264575|Iran|Cricketer|3|4
10995116286302|Tanzania|AmericanFootballPlayer|3|4
8796093029733|Poland|Politician|3|4
4398046517061|Netherlands|PrimeMinister|3|4
8796093022875|Democratic_Republic_of_the_Congo|NascarDriver|3|4
10995116288256|Kenya|Senator|3|4
10995116285979|Poland|Cricketer|3|4
8973|Kazakhstan|ComicsCreator|3|4
15393162797037|Kazakhstan|Saint|3|4
6597069775408|Kazakhstan|SoccerManager|3|4
2199023259074|Kazakhstan|BasketballPlayer|3|4
15393162796579|Kazakhstan|Thing|3|4
15393162793388|Argentina|Architect|3|4
2199023264575|Iran|ComicsCreator|3|4
8796093032781|Algeria|Politician|3|4
4398046515696|Sri_Lanka|Cricketer|3|4
15393162797982|France|ComicsCreator|3|4
10995116284483|Chile|FormulaOneRacer|3|4
10995116284483|Kazakhstan|Monarch|3|4
4398046515696|Hungary|SoccerManager|3|4
4398046515696|Belarus|Architect|3|4
3507|Argentina|SoccerManager|3|4
10995116284386|Poland|AmericanFootballPlayer|3|4
10995116282007|Algeria|ComicsCreator|3|4
6597069774644|Tanzania|Cricketer|3|4
10995116281382|Iran|Politician|3|4
