id2|id2|startTime|endTime|truncationLimit|truncationOrder
74027918874902700|259519928527225767|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
129478489286901859|4702320960928220657|1643673600000|1649289600000|500|TIMESTAMP_DESCENDING
149181737656648221|289919226011977246|1630454400000|1632873600000|500|TIMESTAMP_DESCENDING
213358032346678831|244320279784850805|1635724800000|1643760000000|500|TIMESTAMP_DESCENDING
235313080530109978|238409305273925764|1638316800000|1642291200000|500|TIMESTAMP_DESCENDING
238409305273925764|149181737656648221|1646092800000|1652486400000|500|TIMESTAMP_DESCENDING
244320279784850805|238409305273925764|1648771200000|1680998400000|500|TIMESTAMP_DESCENDING
259519928527225767|289919226011977246|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
272749252432627291|129478489286901859|1638316800000|1641945600000|500|TIMESTAMP_DESCENDING
277252852059997831|283445301547631042|1640995200000|1646611200000|500|TIMESTAMP_DESCENDING
280067601827104922|4846999098957497347|1625097600000|1628726400000|500|TIMESTAMP_DESCENDING
282882351594209675|4858258098025923669|1612137600000|1615766400000|500|TIMESTAMP_DESCENDING
283445301547631042|74027918874902700|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
283726776524341371|4854035973375264280|1633046400000|1638662400000|500|TIMESTAMP_DESCENDING
289919226011977246|4702320960928220657|1640995200000|1644969600000|500|TIMESTAMP_DESCENDING
291045125918819487|283726776524341371|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
298363475313296956|244320279784850805|1635724800000|1638144000000|500|TIMESTAMP_DESCENDING
4702320960928220657|4824199625843935002|1630454400000|1632873600000|500|TIMESTAMP_DESCENDING
4739194182877315637|4821947826030248141|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4746231057295083649|298363475313296956|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4787607878871548218|4859665472909477623|1638316800000|1641513600000|500|TIMESTAMP_DESCENDING
4818851601286431820|259519928527225767|1643673600000|1646870400000|500|TIMESTAMP_DESCENDING
4821947826030248141|238409305273925764|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
4823918150867224040|283445301547631042|1609459200000|1612656000000|500|TIMESTAMP_DESCENDING
4824199625843935002|149181737656648221|1638316800000|1645574400000|500|TIMESTAMP_DESCENDING
4841932549376706686|4739194182877315637|1635724800000|1639353600000|500|TIMESTAMP_DESCENDING
4846999098957497347|289919226011977246|1633046400000|1637884800000|500|TIMESTAMP_DESCENDING
4854035973375264280|4824199625843935002|1633046400000|1637020800000|500|TIMESTAMP_DESCENDING
4858258098025923669|4859665472909477623|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4859665472909477623|280067601827104922|1635724800000|1642982400000|500|TIMESTAMP_DESCENDING
4867265297280665323|4821947826030248141|1633046400000|1636675200000|500|TIMESTAMP_DESCENDING
4867265297280665702|4702320960928220657|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4867546772257376373|280067601827104922|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4876835446488826748|291045125918819487|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
4878242821372380910|4859665472909477623|1640995200000|1644624000000|500|TIMESTAMP_DESCENDING
4894005420068176807|289919226011977246|1635724800000|1638144000000|500|TIMESTAMP_DESCENDING
