id2|id2|startTime|endTime|truncationLimit|truncationOrder
74027918874902700|129478489286901859|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
129478489286901859|291045125918819487|1643673600000|1649289600000|500|TIMESTAMP_DESCENDING
149181737656648221|272749252432627291|1630454400000|1632873600000|500|TIMESTAMP_DESCENDING
213358032346678831|4878242821372380910|1635724800000|1643760000000|500|TIMESTAMP_DESCENDING
235313080530109978|4854035973375264280|1638316800000|1642291200000|500|TIMESTAMP_DESCENDING
238409305273925764|129478489286901859|1646092800000|1652486400000|500|TIMESTAMP_DESCENDING
244320279784850805|283726776524341371|1648771200000|1680998400000|500|TIMESTAMP_DESCENDING
259519928527225767|4867546772257376373|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
272749252432627291|4894005420068176807|1638316800000|1641945600000|500|TIMESTAMP_DESCENDING
277252852059997831|4878242821372380910|1640995200000|1646611200000|500|TIMESTAMP_DESCENDING
280067601827104922|289919226011977246|1625097600000|1628726400000|500|TIMESTAMP_DESCENDING
282882351594209675|4702320960928220657|1612137600000|1615766400000|500|TIMESTAMP_DESCENDING
283445301547631042|280067601827104922|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
283726776524341371|4818851601286431820|1633046400000|1638662400000|500|TIMESTAMP_DESCENDING
289919226011977246|277252852059997831|1640995200000|1644969600000|500|TIMESTAMP_DESCENDING
291045125918819487|4818851601286431820|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
298363475313296956|238409305273925764|1635724800000|1638144000000|500|TIMESTAMP_DESCENDING
4702320960928220657|244320279784850805|1630454400000|1632873600000|500|TIMESTAMP_DESCENDING
4739194182877315637|4821947826030248141|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4746231057295083649|149181737656648221|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4787607878871548218|4878242821372380910|1638316800000|1641513600000|500|TIMESTAMP_DESCENDING
4818851601286431820|4824199625843935002|1643673600000|1646870400000|500|TIMESTAMP_DESCENDING
4821947826030248141|4894005420068176807|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
4823918150867224040|235313080530109978|1609459200000|1612656000000|500|TIMESTAMP_DESCENDING
4824199625843935002|289919226011977246|1638316800000|1645574400000|500|TIMESTAMP_DESCENDING
4841932549376706686|238409305273925764|1635724800000|1639353600000|500|TIMESTAMP_DESCENDING
4846999098957497347|244320279784850805|1633046400000|1637884800000|500|TIMESTAMP_DESCENDING
4854035973375264280|4702320960928220657|1633046400000|1637020800000|500|TIMESTAMP_DESCENDING
4858258098025923669|4823918150867224040|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
4859665472909477623|4823918150867224040|1635724800000|1642982400000|500|TIMESTAMP_DESCENDING
4867265297280665323|283726776524341371|1633046400000|1636675200000|500|TIMESTAMP_DESCENDING
4867265297280665702|235313080530109978|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4867546772257376373|4878242821372380910|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4876835446488826748|280067601827104922|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
4878242821372380910|4824199625843935002|1640995200000|1644624000000|500|TIMESTAMP_DESCENDING
4894005420068176807|4787607878871548218|1635724800000|1638144000000|500|TIMESTAMP_DESCENDING
