id|threshold|startTime|endTime|truncationLimit|truncationOrder
117093590311634615|0|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
160440736725075484|0|1617235200000|1620864000000|500|TIMESTAMP_DESCENDING
164381386399024054|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
174233010583897538|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
179862510118109268|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
184929059698901065|0|1646092800000|1648512000000|500|TIMESTAMP_DESCENDING
186899384535875625|0|1648771200000|1653609600000|500|TIMESTAMP_DESCENDING
222646706578130705|0|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
229965055972606208|0|1646092800000|1648512000000|500|TIMESTAMP_DESCENDING
234750130576687246|0|1648771200000|1651190400000|500|TIMESTAMP_DESCENDING
244320279784850719|0|1640995200000|1644624000000|500|TIMESTAMP_DESCENDING
250512729272484765|0|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
255579278853277381|0|1646092800000|1649721600000|500|TIMESTAMP_DESCENDING
272186302479204421|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
273875152339469111|0|1643673600000|1652140800000|500|TIMESTAMP_DESCENDING
278660226943549884|0|1646092800000|1656979200000|500|TIMESTAMP_DESCENDING
279504651873682007|0|1648771200000|1658448000000|500|TIMESTAMP_DESCENDING
294985775592767553|0|1648771200000|1668124800000|500|TIMESTAMP_DESCENDING
4774097079989438125|0|1633046400000|1637884800000|500|TIMESTAMP_DESCENDING
4790422628638656057|0|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
4793800328359184218|0|1640995200000|1645833600000|500|TIMESTAMP_DESCENDING
4805903752357741343|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
4806185227334451609|0|1619827200000|1622246400000|500|TIMESTAMP_DESCENDING
4816318326496035576|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
4824481100820645756|0|1625097600000|1627516800000|500|TIMESTAMP_DESCENDING
4824762575797355621|0|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
4826732900634330872|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
4827577325564461139|0|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4837428949749335226|0|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4837428949749335462|0|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4846717623980786497|0|1646092800000|1650931200000|500|TIMESTAMP_DESCENDING
4848969423794472749|0|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
4852628598491709566|0|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
4856006298212237522|0|1640995200000|1645833600000|500|TIMESTAMP_DESCENDING
4861354322769740083|0|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
4866983822303953191|0|1640995200000|1648252800000|500|TIMESTAMP_DESCENDING
