id|startTime|endTime|truncationLimit|truncationOrder
48413695994233081|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
201536083324830776|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
269090077735388842|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
270215977642231611|1622505600000|1624924800000|500|TIMESTAMP_DESCENDING
273593677362758747|1630454400000|1634083200000|500|TIMESTAMP_DESCENDING
176766285374292872|1627776000000|1630195200000|500|TIMESTAMP_DESCENDING
199847233464567275|1630454400000|1632873600000|500|TIMESTAMP_DESCENDING
4814348001659061772|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
4835740099889071867|1640995200000|1645833600000|500|TIMESTAMP_DESCENDING
4874020696721720463|1640995200000|1644624000000|500|TIMESTAMP_DESCENDING
72620543991349740|1646092800000|1658188800000|500|TIMESTAMP_DESCENDING
176766285374294035|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
237846355320505109|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
290200700988687855|1638316800000|1640736000000|500|TIMESTAMP_DESCENDING
4615626668101338845|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4803651952544055641|1633046400000|1635465600000|500|TIMESTAMP_DESCENDING
4904138519229759909|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
142707813192304193|1627776000000|1630195200000|500|TIMESTAMP_DESCENDING
214483932253520646|1643673600000|1648512000000|500|TIMESTAMP_DESCENDING
4738349757947183171|1635724800000|1638144000000|500|TIMESTAMP_DESCENDING
4872331846861456392|1633046400000|1635465600000|500|TIMESTAMP_DESCENDING
160440736725074177|1633046400000|1635465600000|500|TIMESTAMP_DESCENDING
165788761282578219|1643673600000|1646092800000|500|TIMESTAMP_DESCENDING
190277084256404791|1643673600000|1647302400000|500|TIMESTAMP_DESCENDING
200410183417989221|1630454400000|1635292800000|500|TIMESTAMP_DESCENDING
4804777852450899954|1648771200000|1651190400000|500|TIMESTAMP_DESCENDING
4824199625843935002|1633046400000|1635465600000|500|TIMESTAMP_DESCENDING
4828140275517884004|1640995200000|1643414400000|500|TIMESTAMP_DESCENDING
4831799450215121856|1638316800000|1643155200000|500|TIMESTAMP_DESCENDING
4780852479430492325|1619827200000|1622246400000|500|TIMESTAMP_DESCENDING
4843621399236969909|1625097600000|1627516800000|500|TIMESTAMP_DESCENDING
4909486543787263363|1633046400000|1635465600000|500|TIMESTAMP_DESCENDING
