id|threshold|startTime|endTime|truncationLimit|truncationOrder
245727654668402964|0|1643673600000|1646697600000|500|TIMESTAMP_DESCENDING
284289726477762834|0|1643673600000|1646697600000|500|TIMESTAMP_DESCENDING
4721461259344544164|0|1622505600000|1625702400000|500|TIMESTAMP_DESCENDING
4707387510509011401|0|1635724800000|1638748800000|500|TIMESTAMP_DESCENDING
4746794007248503240|0|1635724800000|1638748800000|500|TIMESTAMP_DESCENDING
4790422628638654918|0|1635724800000|1638748800000|500|TIMESTAMP_DESCENDING
151152062493623447|0|1633046400000|1636070400000|500|TIMESTAMP_DESCENDING
159033361841521813|0|1633046400000|1636070400000|500|TIMESTAMP_DESCENDING
260082878480647318|0|1633046400000|1636070400000|500|TIMESTAMP_DESCENDING
175358910490738691|0|1633046400000|1636243200000|500|TIMESTAMP_DESCENDING
200973133371408388|0|1633046400000|1636243200000|500|TIMESTAMP_DESCENDING
240942580064322784|0|1640995200000|1646092800000|500|TIMESTAMP_DESCENDING
4628574517030027418|0|1638316800000|1643414400000|500|TIMESTAMP_DESCENDING
4817162751426166939|0|1638316800000|1643414400000|500|TIMESTAMP_DESCENDING
220676381741155066|0|1633046400000|1636243200000|500|TIMESTAMP_DESCENDING
211387707509703357|0|1633046400000|1636070400000|500|TIMESTAMP_DESCENDING
4880776096162776042|0|1638316800000|1641513600000|500|TIMESTAMP_DESCENDING
4894568370021598187|0|1638316800000|1641513600000|500|TIMESTAMP_DESCENDING
